user_id,timestamp,lat,lng,speed_kmh,distance_moved_m,claim_amount,claim_time_gap_min,device_count,kyc_score,ip_distance_km,rainfall_mm,aqi,is_active,fraud_label,temperature
100,25-03-2026 10:00,18.74,85.76,29.98,1998.68,200,540.95,1,80.9,6.08,16.21,77.68,1,0,31.67
101,25-03-2026 10:01,24.62,79.94,0.38,18.94,380,5.75,4,47.9,215.07,4.22,169.17,0,1,25.39
102,25-03-2026 10:02,20.83,85.91,18.8,1253.6,100,627,1,82.82,0.37,26.12,90.76,1,0,29.92
103,25-03-2026 10:03,13.09,76.13,11.39,1855.94,120,267.34,1,86.61,9.46,9.06,53.56,1,0,24.56
104,25-03-2026 10:04,14.94,70.18,38.71,840.47,150,393.39,1,90.23,5.08,17.59,104.98,1,0,35.33
105,25-03-2026 10:05,8.14,69.98,26.92,632.96,100,230.79,1,91.82,2.59,42.47,54.97,1,0,35.84
106,25-03-2026 10:06,24.35,70.96,1.34,10.46,380,6.08,5,57.81,258.17,0.82,148.77,0,1,21.03
107,25-03-2026 10:07,10.2,74.36,0.87,9.23,380,2.02,3,21.09,282.2,1.56,144.11,1,1,27.65
108,25-03-2026 10:08,8.15,82.97,37.74,1102.16,120,902.18,1,90.37,1.36,35.63,56.65,1,0,25.07
109,25-03-2026 10:09,9.57,77.59,25.98,863.49,200,853.04,1,84.72,4.53,48.25,118,1,0,22.07
110,25-03-2026 10:10,24.8,70.51,35.63,1613.37,180,845.05,1,91.59,0.03,6,111.58,1,0,24.29
111,25-03-2026 10:11,8.24,75.3,14.64,1501.51,150,705.52,1,96.71,8.96,15.42,48.48,1,0,19.74
112,25-03-2026 10:12,27.4,74.55,29.66,1021.58,150,723.86,1,99.03,5.38,21.33,103.51,1,0,36.62
113,25-03-2026 10:13,18.31,76.07,35.23,787.97,120,419.55,1,87.84,2.24,34.48,88.68,1,0,24.24
114,25-03-2026 10:14,10.99,80.23,29.07,1501.78,180,895.54,1,92.87,5.4,9.82,54.24,1,0,32.37
115,25-03-2026 10:15,15.91,83.18,20.2,883.45,180,316.25,1,81.64,6.08,41.24,99.8,1,0,28.7
116,25-03-2026 10:16,12.73,83.16,32.53,503.43,150,225.69,1,98.23,6.38,48.51,90.38,1,0,35.3
117,25-03-2026 10:17,19.65,82.94,1.81,7.57,370,7.52,5,47.05,63.76,0.32,92.32,0,1,20.64
118,25-03-2026 10:18,15.55,70.84,10.19,931.77,100,765.46,1,84.99,9.81,19.28,119.1,1,0,31.3
119,25-03-2026 10:19,16.02,78.46,20.02,1727.05,150,427.6,1,87.79,7.04,43.94,50.88,1,0,25.94
120,25-03-2026 10:20,22.5,72.13,25.42,1962.36,180,909.49,1,87,9.14,18.03,89.03,1,0,22.32
121,25-03-2026 10:21,13.75,72.18,12.56,861.03,120,388.97,1,88.75,6.52,14.87,84.87,1,0,49.12
122,25-03-2026 10:22,13.4,75.02,34.46,698.05,100,244.69,1,82.51,8.21,44.82,72.71,1,0,36.82
123,25-03-2026 10:23,12.73,72.24,20.16,1762.24,120,330.07,1,84.21,4.89,47.31,115.48,1,0,41.71
124,25-03-2026 10:24,20.91,69.2,24.88,1416.57,120,482.75,1,80.11,8.45,26.51,92.25,1,0,36.43
125,25-03-2026 10:25,20.69,86.84,10.19,1476.22,200,984.73,1,84.69,6.81,18.35,104.67,1,0,28.8
126,25-03-2026 10:26,25.4,86.83,21.68,1275.85,200,726.05,1,86.34,0.13,49.07,72.01,1,0,30.5
127,25-03-2026 10:27,21.73,79.72,31.36,527.84,200,644.15,1,98.3,1.61,11.89,113.12,1,0,17.78
128,25-03-2026 10:28,8.48,78.03,22.53,1707.3,180,733.49,1,80.51,5.82,48.03,89.39,1,0,15.24
129,25-03-2026 10:29,20.67,71.34,33.03,507.02,120,711.95,1,98.94,8.8,11.42,90.54,1,0,25.4
130,25-03-2026 10:30,11.22,76.08,1.39,9.69,370,1.11,2,50.79,247.63,3.89,132.84,0,1,26.13
131,25-03-2026 10:31,11.51,83.11,0.13,19.72,370,7.47,2,28.97,89.92,4.41,141.29,1,1,23.42
